name;iso_country;municipality;icao_code
Marau Airport;SB;Marau;AGGU
Suavanao Airport;SB;Suavanao;AGGV
Yandina Airport;SB;Yandina;AGGY
El Para?so Airport;CO;Aguachica;
Isuna Heliport;SB;Veravaulo;AGIN
Kagua Airport;PG;Kagua;
Kaghau Airport;SB;Kagau Island;AGKG
Kukudu Airport;SB;Kolombangara Island;AGKU
Kwailabesi Airport;SB;Kwailabesi;AGKW
Lomlom Airport;SB;Lomlom;AGLM
Nana Airport;SB;Star Harbor;AGNA
Manaoba Airport;SB;Manaoba;AGOB
Gatokae Aerodrome;SB;Gatokae;AGOK
Ringi Cove Airport;SB;Ringi Cove;AGRC
Ramata Airport;SB;Ramata;AGRM
Tulaghi Heliport;SB;Tulaghi Island;AGTI
Argyle Downs Airport;AU;Argyle Downs;
Ambatolhy Airport;MG;Ambatolahy;
Scrub Island Airfield;AI;Scrub Island;
Ailinglaplap Airok Airport;MH;Bigatyelang Island;
Jakes Bar Airport;US;Mccarthy;
Anchor River Airpark;US;Anchor Point;
Alaska Airpark;US;Sterling;
Bear Creek 1 Airport;US;Bear Creek;
Skelton Airport;US;Eureka;
Breeden Airport;US;Sterling;
Denali Airport;US;Denali Park;
Dog Fish Bay Airport;US;Nanwalek;
Thomas Strip;US;Willow;
Wingsong Estates Airport;US;Delta Junction;
Butte Municipal Airport;US;Palmer;
AK-10 Airstrip;US;Willow;
Point Mcintyre Airport;US;Point Mcintyre;
Flying Crown Airport;US;Anchorage;
Chena Hot Springs Airport;US;Chena Hot Springs;
Turinsky Airstrip;US;Point Mackenzie;
Sunset Strip;US;Wasilla;
Glacierview Strip;US;Homer;
Camp Point Airport;US;Homer;
Carl's Landing Airport;US;Talkeetna;
CD-3 Airstrip;US;Nuiqsut;
Nushagak Airport;US;Dillingham;
Lakloey Air Park;US;Fairbanks;
Hilltop Airport;US;Chugiak;
Piper Landing Airport;US;Wasilla;
Solomon State Field;US;Solomon;
Valley Flying Crown Airport;US;Wasilla;
Chena Marina Airport;US;Fairbanks;
Reids Landing Airport;US;Houston;
Strawberry Point Airport;US;Cordova;
Swift Creek Airport;US;Mccarthy;
Oooguruk Island Heliport;US;Nuiqsut;
Herendeen Bay Airport;US;Herendeen Bay;
Kashwitna Lake Seaplane Base;US;Willow;
Buffalo Row Heliport;US;Delta Junction;
Point Mac Airport;US;Point Mackenzie;
Point Mackenzie Heliport;US;Point Mackenzie;
Providence Hospital Heliport;US;Anchorage;
South Gasline Airport;US;Sterling;
Nixon Fork Mine Airport;US;McGrath;
Greg'n Sage Airport;US;North Pole;
Jacobsen Lake Seaplane Base;US;Wasilla;
Talkeetna Village Strip;US;Talkeetna;
Abi Airport;US;Palmer;
Shawn Field;US;Wasilla;
Taylor Airport;US;Taylor;
Encelewski Lake Seaplane Base;US;Kasilof;
Sky Ranch At Pioneer Peak Airport;US;Palmer;
Wilder/Natwick LLC Airport;US;Port Alsworth;
Moen's Ranch Airport;US;Fairbanks;
Maud Road Strip Airport;US;Palmer;
Stro's Airport;US;Wasilla;
Moose Run Airstrip;US;Soldotna;
Tikchik Lodge Seaplane Base;US;Tikchik;
Long Lake Seaplane Base;US;Willow;
King Ranch Airport;US;Sutton;
Fort Jensen Airport;US;Jensens;
Stephan Lake Lodge Airport;US;Talkeetna;
Naukati Bay Seaplane Base;US;Tuxekan Island;
Pat-Mar Strip;US;Palmer;
Taylor Mountain Airport;US;Taylor Mountain Mine;
Green's Strip;US;Wasilla;
Hunter Creek Airport;US;Palmer;
Skid Marks Airport;US;Willow;
Minuteman Strip;US;Willow;
Long Lake Airport;US;Willow;
Jewell Airport;US;Willow;
McGahan Industrial Airpark;US;Nikiski;
Kodiak Emergency/Spruce Cape Heliport;US;Kodiak;
Candle 2 Airport;US;Candle;
East Alsek River Airport;US;Yakutat;
All West Airport;US;Delta Junction;
Christiansen Lake Seaplane Base;US;Talkeetna;
American Creek Airport;US;American Creek;
Amook Bay Seaplane Base;US;Amook Bay;
Campbell BLM Heliport;US;Anchorage;
Gannon's Landing Airport;US;Wasilla;
Scooter's Landing Strip;US;Sterling;
Birchwater Airport;US;Wasilla;
Kramer Airport;US;Big Lake;
Team Levine Heliport;US;Big Lake;
Eagle Nest Airport;US;Palmer;
Black Spruce Airport;US;Houston;
Shirley Lake Airport;US;Willow;
Elmendorf Hospital Heliport;US;Anchorage;
Martin Airport;US;Palmer;
Grouse Ridge Airport;US;Palmer;
Alascom/Coastal Lena Point Heliport;US;Juneau;
Twin Lake Airport;US;Big Lake;
Boswell Bay Airport;US;Boswell Bay;
Buck Creek Airport;US;Buck Creek;
Grand Home Airport;US;Wasilla;
Zakuoma Airport;TD;ZaKouma;
Lapraka Heliport;AL;Tirana;
Korrotic??s s?? Ul??t Airport;XK;Korrotic?? e Poshtme;
Vlora International Airport (under construction);AL;Akerni;
Mother Teresa Hospital Heliport;AL;Tirana;
University Trauma Hospital Heliport;AL;Tirana;
Pogradec Heliport;AL;Pogradec;
Viva Heliport Baldushk;AL;Balshaban;
Fark?? Helicopter Base;AL;Fark??;
Puka Heliport;AL;Puka;
Kor???? Teni Konomi City Hospital Heliport;AL;Kor????;
Berat Regional Hospital Heliport;AL;Berat;
Gjirokast??r Airfield;AL;Gjirokast??r;
Gjad??r Air Base;AL;Gjad??r;
Kor???? Airfield;AL;Qend??r Bulgarec;
Vlor?? Air Base;AL;Vlor??;
Shkod??r Airport;AL;Shkod??r;
Sarand?? Airfield;AL;Sarand??;
Shijak Airfield;AL;Shijak;
paramax168 - ???????????????????????????????????? paramax168 slot;AL;;
Sehoy Airport;US;Hurtsboro;
EAMC-Lanier Heliport;US;Valley;
Perdido Winds Airpark;US;Elberta;
Cloudmont Airpark;US;Mentone;
Frerichs Airport;US;Gurley;
Baptist Medical Center Heliport;US;Montgomery;
Kershaw Airport;US;Montgomery;
Westrock - Mahrt Mill Heliport;US;Cottonton;
Whitfield Regional Hospital Heliport;US;Demopolis;
Turkey Creek Airport;US;Pinson;
Lazy Eight Airpark Llc Airport;US;Wilsonville;
Parker Field;US;Gardendale;
Medical West Heliport;US;Bessemer;
Southeast Alabama Medical Center Heliport;US;Dothan;
Lakeside Heliport;US;Birmingham;
Rotor Wing Inc Heliport;US;Mount Olive;
Spratling Field;US;Roba;
Bryant Culberson Heliport;US;Tuscaloosa;
Headquarters Airport;US;Centre;
New Horizon Airport;US;Blountsville;
Flying BK Ranch Airport;US;Cedar Bluff;
Sturdy Oak Farm Airport;US;Perdido;
Elam's Landing Airport;US;Moulton;
Mc Ginnis Airport;US;Loxley;
The Huntsville Hospital Heliport;US;Huntsville;
Benedick Airport;US;Jack;
University of Alabama Hospital Heliport;US;Birmingham;
Shelby Medical Center Heliport;US;Alabaster;
Freedom Field;US;Slocomb;
Regional Medical Center Anniston Heliport;US;Anniston;
Henley Ranch Airport;US;Geiger;
Cullman Medical Center Heliport;US;Cullman;
Shoals Creek Seaplane Base;US;Florence;
Southwest Alabama Medical Center Heliport;US;Thomasville;
Carraway Medical Center Heliport;US;Birmingham;
Baptist Medical Center-Princeton Heliport;US;Birmingham;
Flying C's Plantation Airport;US;Crawford;
USA Health University Hospital Heliport;US;Mobile;
Humana Hospital Shoals Heliport;US;Muscle Shoals;
Bird Nest Airport;US;Winfield;
Shields Airport;US;Elberta;
Lower Delta Seaplane Base;US;Spanish Fort;
Flowers Hospital Heliport;US;Dothan;
Dugger's Field;US;Ashville;
Striplin Airfield;US;Hartford;
Walker Regional Medical Center Heliport;US;Jasper;
St Vincents East Heliport;US;Birmingham;
Alabama Power Headquarters Heliport;US;Birmingham;
Vaughn Private Airport;US;Summerdale;
Willow Point Airport;US;Our Town;
Grimes Field;US;Semmes;
Gulf State Park Seaplane Base;US;Gulf Shores;
Mayfield (Private) Airport;US;Maplesville;
Smart Road Airport;US;Troy;
Klumpp Airport;US;Fairhope;
Bartlett Ranch Airport;US;Pike Road;
Providence Hospital Heliport;US;Mobile;
Community Hospital Heliport;US;Tallassee;
Pecan Ponds Farm Airport;US;Robertsdale;
Lawrence County Hospital Heliport;US;Moulton;
Dale Medical Center Heliport;US;Ozark;
Ban Farm Airport;US;Lillian;
Sommerset Strip;US;Opelika;
Selma Medical Center Heliport;US;Selma;
The Children's Hospital Heliport;US;Birmingham;
Hawk Field;US;Harpersville;
Big Sky Airport;US;Huntsville;
Evans Field;US;Wilmer;
McIntosh Community Heliport;US;McIntosh;
Bon Secour Seaplane Base;US;Gulf Shores;
Williamson Farm Airport;US;Loxley;
DCH Regional Medical Center Heliport;US;Tuscaloosa;
Alitak Seaplane Base;US;Lazy Bay;
Syunik Airport;AM;Kapan;
Goris Airport;AM;Shinuhayr;
Hoktember Highway Strip;AM;Hoktember;
Berd Airport;AM;Berd;
Gavar Airport;AM;Gavar;
Vardenis Airstrip;AM;Mets Mazrik;
Meghri Airport;AM;Meghri;
Sisian Airstrip;AM;Sisian;
Sky Club Airstrip;AM;Bardzrashen;
Victory Park Helipad;AM;Yerevan;
Jermuk Airport;AM;Jermuk;
Alto Molocue Airport;MZ;Alto Molocue;
Ambatomainty Airport;MG;;
Racs Magazine Heliport;US;Girdwood;
Av Ranch Airport;US;Klondyke;
Alaska View Airport;US;Skwentna;
Dorcol Airport;US;Palmer;
Frog Pond Airport;US;Jonesboro;
Angaur;PW;Angaur Island;
Nauru International Airport;NR;Yaren District;ANYN
Angus Downs Airport;AU;Angus Downs Station;
Catoca Airport;AO;Saurimo;
Nancova Airport;AO;Nancova;
Rito Airport;AO;Rito;
Coemba Airport;AO;Coemba;
Andulo Airport;AO;Andulo;
Caluquembe Airport;AO;Calequembe;
Cuvelai Airport;AO;Cuvelai;
Cuangar Airport;AO;Cuangar;
Cuangar Old Airport;AO;Cuangar;
Savate Airport;AO;Savate;
Mucusso Airport;AO;Mucusso;
Jamba Airport;AO;Jamba;
Luiana Airport;AO;Luiana;
Coutada Airport;AO;Coutada;
Rivungo Airport;AO;Rivungo;
Mavinga Airport;AO;Mavinga;
Ninda Airport;AO;Ninda;
Luena Airport;AO;Luena;
Lucusse Airport;AO;Lucusse;
Cassamba Airport;AO;Cassamba;
Calunda Airport;AO;Calunda;
L?vua Airport;AO;L?vua;
Luacano Airport;AO;Luacano;
Lumeje Airport;AO;Lumeje;
Chipato Airport;AO;Luao;
Nova Chaves Airport;AO;Nova Chaves;
Camacupa Airport;AO;Camacupa;
Luando Airport;AO;Luando;
Quirima Airport;AO;Quirima;
Dala Airport;AO;Dala;
Cazaje Airport;AO;Cazaje;
Longa Airport;AO;Longa;
Cuchi Airport;AO;Cuchi;
Mutumbo Airport;AO;Mutumbo;
Miguel Airport;AO;Miguel;
Namacunde Airport;AO;Namacunde;
Calai Airport;AO;Calai;
Chitado Airport;AO;Chitado;
Alto Dondo Airport;AO;Dondo;
Mussende Airport;AO;Mussende;
Capenda Camulemba Airport;AO;Capenda Camulemba;
Xassengue Airport;AO;Xassengue;
Balombo Airport;AO;Balombo;
Cuima Airport;AO;Cuima;
Cubati Airport;AO;Cubati;
Capelongo Airport;AO;Capelongo;
Chitembo Airport;AO;Chitembo;
Cuito Cuanavale South Airport;AO;Baixo Longa;
Mussuma Airport;AO;Mussuma;
Mumbu? Airport;AO;Mumbu?;
Cubango River Airport;AO;Hungulo;
Chinhama Airport;AO;Chinhama;
Ba?a dos Tigres Airstrip;AO;Vila Ba?a dos Tigres;
T?mbua Airport;AO;T?mbua;
Bentiaba Airfield;AO;Bentiaba;
Lunuango Airstrip;AO;Lunuango;
Kwanda Airport;AO;Soyo;
Sinfo Heliport;AO;Luanda;
Emilio de Carvalho Airport;AO;Emilio de Carvalho;
Nhamuana Airport;AO;Nhamuana;
Aldeia Airport;AO;Aldeia;
Bicunga Airport;AO;Bicunga;
Tchindjenje Airport;AO;Tchindjenje;
Ganda Airport;AO;Ganda;
Caimbambo Airport;AO;Caimbambo;
Malongo Terminal Heliport;AO;Malongo;
Lumbala Airstrip;AO;Lumbala;
Espinheira Airfield;AO;Espinheira;
Praia do Capim Airfield;AO;Praia do Capim;
Dombe Grande Airfield;AO;Dombe Grande;
Canhoca Airstrip;AO;Canhoca;
Cangamba Airport;AO;Cangamba;
Dirico Airport;AO;Dirico;
N'dalatando Airport;AO;N'dalatando;
Annanberg Airport;PG;;
Abou-De??a Airport;TD;Abou-De??a;
Asapa Airport;PG;;
Novolazarevskaya Station;AQ;Queen Maud Land;
Troll Airfield;AQ;Troll Station;
Gonz?lez Videla Antarctic Base;AQ;Waterboat Point;
Ellsworth Station;AQ;Ellsworth Station;
Palmer Station Heliport;AQ;Palmer Station;
Enigma Lake Skiway;AQ;Zucchelli Station;
Machu Picchu Base Helipad;AQ;Machu Picchu Base;
Comandante Ferraz Antarctic Station Helipad;AQ;Comandante Ferraz Antarctic Station;
Arctowsky Station Heliport;AQ;Arctowsky Station;
Wolfs Fang;AQ;;
Navaid;AQ;;
McMurdo Station Ice Runway;AQ;McMurdo Station;
McMurdo Station Pegasus Field;AQ;McMurdo Station;
Boulder Clay Runway;AQ;Zucchelli Station;
Girdwood-Alyeska Airport;US;Girdwood;
Cullen Airport;AR;Cullen;
Estancia Los Cerros Airport;AR;Estancia Los Cerros;
Rio Bellavista Airport;AR;Rio Bellavista;
Merlo Airport;AR;Merlo;
Bragado Airport;AR;Bragado;
Los Rulos Airport;AR;Casares;
Caleta Olivia Airport;AR;Caleta Olivia;
Aeroclub Chaco Airport;AR;Resistencia;
Charata Airport;AR;Charata;
General Villegas Airport;AR;General Villegas;
Los Menucos Airport;AR;Los Menucos;
Aerofumigaciones Don Alejandro Airport;AR;Coronel Bogado;
Agro Servicio Yoris Airport;AR;Gobernador Garmendia;
Agroaire Airport;AR;Gancedo;
Saenz Pe?a Airport;AR;Presidencia Roque S?enz Pe?a;
(Old) Antoine De Saint Exupery Airport;AR;San Antonio Oeste;
Valcheta Airport;AR;Valcheta;
Villa Mercedes Airport;AR;Villa Mercedes;
13 De Diciembre Airport;AR;Comodoro Rivadavia;
Abel Monteverde Heliport;AR;Monte Buey;
Acindar Airport;AR;Villa Constituci?n;
Aeroboero Airport;AR;Morteros;
Bah?a Blanca Aeroclub Airport;AR;Bah?a Blanca;
Balcarce Aeroclub Airport;AR;Balcarce;
Cipoletti Aeroclub Airport;AR;Cipoletti;
Olavarria Aeroclub Airport;AR;Olavarria;
Rauch Airport;AR;Rauch;
Tandil Aeroclub Airport;AR;Tandil;
Aerotec Airport;AR;Rivadavia;
Alagro Fumigaciones Airport;AR;Funes;
San Andr?s de Giles Airport;AR;San Andr?s de Giles;
Alejandro Roca Airport;AR;Alejandro Roca;
Alfredo Sanchez Airport;AR;General Pinto;
Algarrobo/La Reforma Airport;AR;Bahia Blanca;
Allen Airport;AR;Allen;
Alta Gracia Airport;AR;Alta Gracia;
Alumine Airport;AR;Alumine;
Alvear Airpark;AR;Rosario;
Alvear Airport;AR;Corrientes;
Ameghino Airport;AR;Ameghino;
Am?rica Airport;AR;Rivadavia;
A?atuya Airport;AR;A?atuya;
Andacollo Airport;AR;Andacollo;
Anibal Brizi Airport;AR;Esperanza;
Arelauquen Heliport;AR;San Carlos de Bariloche;
Aries Heliport;AR;Santa Cruz;
Arrecifes Aeroclub Airport;AR;Arrecifes;
Arribe?os Airport;AR;Arribe?os;
Arroyito/Arcor Airport;AR;Arroyito/Arcor;
Austral Heliport;AR;Rio Cullen;
Buenos Aires City Oscar and Juan G?lvez Autodrome Heliport;AR;Buenos Aires;
Presidente Avellaneda Airport;AR;Avellaneda;
Ayacucho Airport;AR;Ayacucho;
Ayres De Pilar Heliport;AR;Pilar;
Azcarate Irastorza Heliport;AR;Intendente Alvear;
B&B Servicios Agropecuarios Airport;AR;Ca?ada Rosquin;
B. Churruca Heliport;AR;Buenos Aires;
Baradero Airport;AR;Baradero;
Barrancas Airport;AR;Barrancas;
Basavilbaso Airport;AR;Basavilbaso;
Batan Airport;AR;Mar Del Plata;
Escobar Aeroclub;AR;Bel?n de Escobar;
Bellamar Airport;AR;Miramar;
Benavidez Airport;AR;Benavidez;
Blondi Airport;AR;Junin;
Gran Ancona Airport;AR;Bombal;
Bonetti Airport;AR;Posadas;
Pablo Sierra Aeroaplicaciones Airport;AR;Brinkman;
Caba?a San Isidro Labrador Heliport;AR;Bel?n De Escobar;
Caba?as Airport;AR;Gualeguaychu;
Cabildo Airport;AR;Cabildo;
Ituzaingo / Transener S.A. Heliport;AR;Ituzaingo;
Cabo V?rgenes Heliport;AR;Cabo V?rgenes;
Caleufu Airport;AR;Caleufu;
Campo De Vuelo Heliport;AR;Cordoba;
Canals Airport;AR;Canals;
Ca?ada de Gomez Airport;AR;Ca?ada de Gomez;
Ca?ada Rosquin Airport;AR;Ca?ada Rosquin;
Ca?uelas Airport;AR;Ca?uelas;
Aeroclub Capitan Sarmiento;AR;Capitan Sarmiento;
Vedia Aeroclub;AR;Vedia;
Carhue Airport;AR;Carhue;
Carlos Casares Airport;AR;Carlos Casares;
Las Ensenadas Airport;AR;Carlos Paz;
Carlos Tejedor Airport;AR;Carlos Tejedor;
Carmen de Areco Airport;AR;Carmen de Areco;
Casa De Gobierno Heliport;AR;Cordoba;
Casilda Airport;AR;Casilda;
Castelli Airport;AR;Castelli;
Castelli Airport;AR;Chaco;
Centinela Heliport;AR;Buenos Aires;
Central Nuclear Heliport;AR;Embalse Rio Tercero;
Centro C?vico Grand Bourg Heliport;AR;Salta;
Cereales Anahi Ruca Airport;AR;General Pico;
Cerro Chapelco Heliport;AR;San Mart?n De Los Andes;
Chacabuco Airport;AR;Chacabuco;
Chacharramendi Airport;AR;Chacharramendi;
Chajari Airport;AR;Chajari;
Cha?ar Ladeado Airport;AR;Cha?ar Ladeado;
Chascom??s Airport;AR;Chascom??s;
Chivilcoy Airport;AR;Chivilcoy;
Cholila Airport;AR;Cholila;
Cinco Saltos Airport;AR;Cinco Saltos;
Citefa Heliport;AR;Villa Martelli;
Ciudad Universitaria Heliport;AR;Cordoba;
Club Nautico San Isidro Heliport;AR;San Isidro;
Col?n Airport;AR;Col?n;
Colon Airport;AR;Colon;
Llao Llao Complex Heliport;AR;San Carlos de Bariloche;
Concepcion Del Uruguay Airport;AR;Concepcion Del Uruguay;
Concordia Aeroclub Airport;AR;Concordia;
Confluencia Airport;AR;Confluencia;
Coronel Dorrego Airport;AR;Coronel Dorrego;
Coronel Pringles Airport;AR;Coronel Pringles;
Coronel Vidal Airport;AR;Coronel Vidal;
Corral De Bustos Airport;AR;Corral de Bustos;
Santa Mar?a Airport;AR;Cosquin;
Cruz Alta Airport;AR;Cruz Alta;
Curuzu Cuatia Aeroclub Airport;AR;Curuzu Cuatia;
D.P.A.O. Heliport;AR;La Plata;
Fumigaciones Rodriguez Airport;AR;Daireaux;
Darregueira Airport;AR;Darregueira;
Darsena Sur Heliport;AR;Buenos Aires;
Dean Funes Airport;AR;Dean Funes;
Diamante Airport;AR;Diamante;
Dines (Doctor E. Escudero) Heliport;AR;Buenos Aires;
Agrocelta Servicios Aereos Airport;AR;Mariano H. Alfonzo;
Saavedra Airport;AR;Saavedra;
Ecodyma S.C.A. Heliport;AR;La Plata;
Eduardo Castex Airport;AR;Eduardo Castex;
El Alamito Airport;AR;El Alamito;
Establecimiento El Araza Airport;AR;Maipu;
El Capricho Heliport;AR;Chenaut;
El Corcovado Airport;AR;Corcovado;
El Gaucho Airport;AR;Las Parejas;
El Manantial Airport;AR;Coronel Brandsen;
El Pajaro Airport;AR;Florencio Varela;
El Pampero Airport;AR;Santa Rosa;
El Trebol Airport;AR;El Trebol;
Elizalde Airport;AR;La Plata;
Esperanza Airport;AR;Esperanza;
Esquina Airport;AR;Esquina;
Estancia Don Roberto Airport;AR;Villa Mercedes;
Estancia Haychol Heliport;AR;Las Lajas;
Estancia La Candelaria Heliport;AR;San Martin De Los Andes;
Estancia La Chacota Heliport;AR;Trenque Lauquen;
Estancia La Choza Airport;AR;Chajari;
Estancia La Laurita Airport;AR;Alto Rio Senguerr;
Estancia Llamuco Airport;AR;Llamuco;
Estancia Los Cardos Airport;AR;Balcarce;
Estancia Nueva Lubecka Airport;AR;Jose de San Martin;
Estancia Palitue Heliport;AR;Junin De Los Andes;
Estancia San Juan Airport;AR;Curuzu Cuatia;
Estancia San Ram?n Airport;AR;Santa Cruz;
Estancia Santa Ana Airport;AR;El Turbio;
Estancia Santa Isabel Heliport;AR;Catan Lil;
Estindher Airport;AR;Rio Cuarto;
Ezpeleta Airport;AR;Ezpeleta;
Finca Las Costas Heliport;AR;Salta;
Firmat Aeroclub Airport;AR;Firmat;
Aer?dromo sede del Aeroclub Formosa;AR;Formosa;
Fort?n De Gainza Airport;AR;Santa Regina;
Fuerza A?rea(Edificio C?ndor) Heliport;AR;Buenos Aires;
Fumigaciones Stadler Airport;AR;Serodino;
Galvez Airport;AR;Galvez;
General Alvear Aeroclub Airport;AR;General Alvear;
General Belgrano Airport;AR;General Belgrano;
General Deheza Airport;AR;General Deheza;
General La Madrid Airport;AR;General La Madrid;
General Las Heras Aeroclub;AR;General Las Heras;
General Levalle Airport;AR;General Levalle;
General Madariaga Airport;AR;General Madariaga;
General P??nedo Airport;AR;General P??nedo;
General Pinto Airport;AR;General Pinto;
General Rodriguez Airport;AR;General Rodriguez;
Los Toldos Airport;AR;General Viamonte;
Gobernador Crespo Aeroclub Airport;AR;Gobernador Crespo;
Gobernador Santill?n Airport;AR;Santiago Del Estero;
Gomez Airport;AR;Gomez;
Gonzales Chaves Airport;AR;Adolfo Gonzales Chaves;
Goya Aeroclub;AR;Goya;
Guadalupe Airport;AR;Santa Fe;
Gualeguay Airport;AR;Gualeguay;
Agro Aereo Gualeguay Airport;AR;Gualeguay;
Helicenter Heliport;AR;Don Torcuato;
Heliplataforma Am I Heliport;AR;Santa Cruz;
Heliplataforma Carina/Total Fina ELF;AR;Santa Cruz;
Heliplataforma/Am-2 Heliport;AR;Santa Cruz;
Heliplataforma/Am3 Heliport;AR;Santa Cruz;
Heliplataforma/Am5 Heliport;AR;Santa Cruz;
Heliplataforma/Rio Cullen-Hidra Norte Heliport;AR;Santa Cruz;
Heliwest Heliport;AR;Moreno;
Henderson Airport;AR;Henderson;
Hospital De Milagro Heliport;AR;Salta;
Hospital Materno Infantil San Roque Heliport;AR;Paran?;
Hospital Municipal Heliport;AR;San Andres De Giles;
Professor Juan P Garrahan National Pediatric Hospital Heliport;AR;Buenos Aires;
Huanguelen Airport;AR;Huanguelen;
Huinca Renanco Airport;AR;Huinca Renanco;
Ingeniero Luiggi Airport;AR;Ingeniero Luiggi;
Agroservicio Do?a Teresa Airport;AR;Bandera;
Establecimiento La Susana;AR;Ingeniero Williams;
Intendente Alvear Airport;AR;Intendente Alvear;
Intendente Alvear;AR;Intendente Alvear;
Fumigaciones Herbinsec Airport;AR;Roberts;
Isla Santa M?nica Heliport;AR;Tigre;
Don Hector Biondi Airport;AR;Isla Verde;
Italaviation Airport;AR;Goya;
Jacinto Arauz Airport;AR;Jacinto Arauz;
Jardin De Am?rica Airport;AR;Jardin de Am?rica;
Jes??s Maria Airport;AR;Jes??s Maria;
Agropecuaria Rio Juramento Airport;AR;Joaquin V. Gonzalez;
Tres Lomas Airport;AR;Jose Maria Blanco;
Juan Carlos Bagur Airport;AR;Nogoya;
Juan Y Luci Heliport;AR;Alpa Corral;
Juarez Celman Airport;AR;Juarez Celman;
La Angelita Airport;AR;Federal;
Trenque Lauquen Airport;AR;Trenque Lauquen;
La Caida Airport;AR;Longchamps;
La Caldera Heliport;AR;Costa Azul;
La Carolina Heliport;AR;La Carolina;
La Consulta Airport;AR;La Consulta;
La Fantasia;AR;Lujan;
La Laja Airport;AR;La Laja;
Quebracho Herrado Airport;AR;Capit?n Sarmiento;
La Madrugada Heliport;AR;Capilla Del Se?or;
La Mezquita Airport;AR;Cordoba/La Mezquita;
La Milagrosa Heliport;AR;Concepcion Del Uruguay;
La Nueva Airport;AR;Lincoln;
La Paz Aeroclub Airport;AR;La Paz;
La Pelada Airport;AR;La Pelada;
La Siesta Airport;AR;Venado Tuerto;
La Superba Heliport;AR;Open Door;
Laborde Airport;AR;Laborde;
Lago Buenos Aires (Aeroclub Perito Moreno) Airfield;AR;Perito Moreno;
Lago Escondido Heliport;AR;Lago Escondido;
Lago La Esperanza Airport;AR;Esquel;
Lago Nahuel Huapi Airfield;AR;San Carlos de Bariloche;
Laguna Aeroclub Airport;AR;San Andres de Giles;
Laguna De Gomez Airport;AR;Laguna de Gomez;
Laprida Airport;AR;Laprida;
Las Araucarias Heliport;AR;Capilla Del Se?or;
Las Chacritas Heliport;AR;Villa Rosa;
Las Cortaderas Airport;AR;Miramar;
Las Marias Airport;AR;Gdor. Valentin Virasoro;
Las Ovejas Airport;AR;Las Ovejas;
Las Rosas Airport;AR;Las Rosas;
Las Varillas Airport;AR;Las Varillas;
Lanzillota Airport;AR;Ciudad de Lavalle;
Legat S.A. Heliport;AR;Bel?n De Escobar;
Leones Airport;AR;Leones;
Luj?n Airport;AR;Lujan;
Lincoln Airport;AR;Lincoln;
El Mirador;AR;San Andres de Giles;
Loberia Airport;AR;Loberia;
Nika Airport;AR;Lober?a;
Lobos Airport;AR;Lobos;
Los Cardos Airport;AR;Los Cardos;
Los Fresnos Heliport;AR;Capilla Del Se?or;
Los Perales Airport;AR;Las Heras;
Los Tucanes Airport;AR;Tucuman;
Macachin Airport;AR;Macachin;
Madero Heliport;AR;Buenos Aires;
Maip?? Airport;AR;Maip??;
Manuel Afonso Heliport;AR;Hudson;
Marcos Paz Airfield;AR;Marcos Paz;
Mart?n Fierro Airport;AR;Vicu?a Mackena;
Match Point Heliport;AR;Lujan;
Meliquina Airport;AR;Meliquina;
Memorial Heliport;AR;Pilar;
Mercedes Airport;AR;Mercedes;
Azcarate Irastorza Airport;AR;Intendente Alvear;
Met?n Airport;AR;Metan;
Mina Clavero Airport;AR;Mina Clavero;
Miraflores Country Club Heliport;AR;Garin;
Monte Maiz Airport;AR;Monte Maiz;
Montecarlo Airport;AR;Montecarlo;
Moromar Airport;AR;Quequen;
Morrison Heliport;AR;Morrison;
Morteros Airport;AR;Morteros;
Navarro Airport;AR;Navarro;
Nogoya Airport;AR;Nogoya;
Norberto Cordeiro Heliport;AR;Villa Carlos Paz;
Sub-Inspector Official Gustavo Soarez de Souza Heliport;AR;La Matanza;
Oliva Airport;AR;Oliva;
Oreste Berta Heliport;AR;Alta Gracia;
Argentine Naval Prefecture Principal Official Ballestra Heliport;AR;Buenos Aires;
Haydee Airport;AR;Carlos Caceres;
Parana Aeroclub Airport;AR;Parana;
Parana Club De Planeadores Airport;AR;Parana;
Parque Hermoso Airport;AR;Mar Del Plata;
Pedro Luro Airport;AR;Pedro Luro;
Pellegrini Airport;AR;Pellegrini;
LAD 2198 Juan Jose Angelini;AR;San Andres de Giles;
Pilcaniyeu Airport;AR;Pilcaniyeu;
Pinamar Airport;AR;Pinamar;
Planta Cruz Del Sur Heliport;AR;Bah?a San Sebasti?n;
Poblet Airport;AR;Poblet;
Polic?a Provincia De C?rdoba Heliport;AR;Cordoba;
Policlinico San Martin Heliport;AR;La Plata;
Polisur S.A. Heliport;AR;Bah?a Blanca;
Posadas Aeroclub Airport;AR;Posadas;
Presidencia de la Naci?n Heliport;AR;Buenos Aires;
Pu?n Airport;AR;Pu?n;
Pueblo Esther Airport;AR;Rosario;
Terminal 6 Airport;AR;Puerto San Mart?n;
Pulmari Airport;AR;Pulmari;
Punta Alta Airport;AR;Punta Alta;
Raies Heliport;AR;Cordoba;
Rancho De Monta?a Heliport;AR;San Mart?n De Los Andes;
La Igualdad Airport;AR;Ranchos;
Rawson Airport;AR;Rawson;
Realic? Airport;AR;Realic?;
Nueva Valencia Airport;AR;Riachuelo;
Don Jose Airport;AR;Ricardone;
